,dummy_id,final_weight,age,statereside,maritalstatus,education,laborstatus,hhincome,racethn5,q009,q040,q041,q042,q042_other,q042s1,q042s2,q042s3,q042s4,q042s5,q042s6,q042s7,q042s8,q042s9,q044,q045,q046,q047,q048,q049,q051,q052,q053,q053_other,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q066,q067,q068,q116,q117a
0,1.0,4,53.0,1,6,6,8,13,2.0,4,3,,,,,,,,,,,,,3,3,1,3,3,2,2,3,2,,26.0,,,,,,,3,,,,,,,2,2
1,2.0,0,67.0,1,1,9,5,8,1.0,1,3,,,,,,,,,,,,,4,4,1,2,2,2,2,2,2,,1000.0,,,,,,,2,,,,,,,2,2
2,3.0,1,37.0,1,1,9,1,6,1.0,3,1,4,,,,,,,,,,,,5,5,1,2,2,2,2,1,2,,185.0,,,,,260.0,,3,,,,,2,,2,2
3,4.0,2,36.0,1,6,13,1,12,2.0,2,1,1,2-1-3-7,,1,1,1,0,0,0,1,0,0,5,4,1,1,1,2,2,2,2,,1.0,1.0,3300.0,,,,,3,2,1,,,,,2,2
4,5.0,0,47.0,1,1,14,1,15,1.0,3,1,2,1-Feb,,1,1,0,0,0,0,0,0,0,2,2,1,1,2,1,1,1,1,land,2000.0,10000.0,,65000.0,40000.0,500.0,70000.0,2,2,,1,2,2,2,1,1
5,6.0,0,52.0,1,1,15,1,15,2.0,2,1,2,8-Jan,,1,0,0,0,0,0,0,1,0,1,4,1,1,1,2,2,1,2,,6500.0,5000.0,98000.0,,,600.0,,2,1,1,,,2,,2,1
6,7.0,4,38.0,1,4,9,1,12,2.0,2,1,2,1-7-2-8-3-5,,1,1,1,0,1,0,1,1,0,1,2,1,1,1,2,2,1,2,,880.0,912.0,27000.0,,,372.0,,2,1,1,,,2,,2,2
7,8.0,0,36.0,1,4,9,1,14,2.0,4,1,1,2-Mar,,0,1,1,0,0,0,0,0,0,5,5,1,2,1,2,2,2,2,,1.0,,5000.0,,,,,3,,2,,,,,2,2
8,9.0,0,40.0,1,1,11,1,15,1.0,5,1,3,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,,30000.0,30000.0,150000.0,100000.0,100000.0,30000.0,,3,1,1,1,1,1,,1,1
9,10.0,0,57.0,1,4,14,1,11,2.0,2,1,2,3,,0,0,1,0,0,0,0,0,0,5,5,1,1,1,2,2,2,2,,30.0,500.0,60000.0,,,,,3,2,1,,,,,2,2
10,11.0,0,47.0,1,3,14,1,10,2.0,2,1,2,2,,0,1,0,0,0,0,0,0,0,1,2,1,1,1,2,2,2,2,,200.0,200.0,500.0,,,,,3,2,1,,,,,2,2
11,12.0,1,58.0,1,1,9,5,14,1.0,3,1,2,2/3/2001,,1,1,1,0,0,0,0,0,0,2,2,1,1,1,2,2,1,2,,3000.0,5000.0,30000.0,,,1000.0,,2,1,1,,,2,,1,1
12,13.0,0,47.0,1,4,10,4,6,1.0,4,3,,,,,,,,,,,,,4,3,1,1,2,2,2,2,2,,200.0,25.0,,,,,,2,3,,,,,,2,2
13,14.0,0,71.0,1,1,4,6,2,1.0,3,3,,,,,,,,,,,,,4,5,1,2,2,2,2,2,2,,100.0,,,,,,,3,,,,,,,2,2
14,15.0,1,63.0,1,1,11,5,10,1.0,3,1,2,6-Feb,,0,1,0,0,0,1,0,0,0,1,4,1,1,2,1,2,1,2,,500.0,20000.0,,10000.0,,2000.0,,3,1,,1,,2,,2,1
15,16.0,1,59.0,1,1,12,1,12,4.0,1,1,2,1-Feb,,1,1,0,0,0,0,0,0,0,2,4,1,1,1,2,2,2,2,,1500.0,5000.0,30000.0,,,,,3,2,1,,,,,2,1
16,17.0,0,24.0,1,6,10,1,1,2.0,2,1,2,2-3-6-7,,0,1,1,0,0,1,1,0,0,3,2,1,1,2,2,2,2,2,,340.0,650.0,,,,,,2,2,,,,,,2,2
17,18.0,0,45.0,1,3,4,1,15,1.0,1,2,,,,,,,,,,,,,3,5,1,1,2,2,2,2,2,,15000.0,10000.0,,,,,,1,1,,,,,,2,2
18,19.0,0,22.0,1,1,10,1,13,2.0,3,1,3,,,,,,,,,,,,1,2,1,1,1,2,2,1,2,,542.0,3000.0,2000.0,,,650.0,,1,1,1,,,2,,2,1
19,20.0,1,68.0,1,1,13,5,10,2.0,5,3,,,,,,,,,,,,,1,1,1,1,2,2,1,1,2,,3300.0,7000.0,,,29000.0,300.0,,1,1,,,1,2,,1,1
